Reactome_ID;Description;Cluster_glay;Indegree;category_SignalTransduction;category_Metabolism;category_ImmuneSystem;category_Metabolismofproteins;category_Geneexpression(Transcription);category_DevelopmentalBiology;category_Disease;category_Vesicle-mediatedtransport;category_Transportofsmallmolecules;category_MetabolismofRNA;category_Hemostasis;category_CellCycle;category_Cellularresponsestoexternalstimuli;category_NeuronalSystem;category_Extracellularmatrixorganization;category_DNARepair;category_Organellebiogenesisandmaintenance;category_Chromatinorganization;category_Musclecontraction;category_ProgrammedCellDeath;category_DNAReplication;category_Cell-Cellcommunication;category_Reproduction;category_CircadianClock;category_Mitophagy;category_Digestionandabsorption
R-HSA-1500931;Cell-Cell communication;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
R-HSA-373753;Nephrin family interactions;48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
R-HSA-373756;SDK interactions;48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
R-HSA-391160;Signal regulatory protein family interactions;48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
R-HSA-418990;Adherens junctions interactions;48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
R-HSA-420029;Tight junction interactions;48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
R-HSA-420597;Nectin/Necl  trans heterodimerization;48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
R-HSA-421270;Cell-cell junction organization;48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
R-HSA-446107;Type I hemidesmosome assembly;48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
R-HSA-446343;Localization of the PINCH-ILK-PARVIN complex to focal adhesions;48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
R-HSA-446353;Cell-extracellular matrix interactions;48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
R-HSA-446388;Regulation of cytoskeletal remodeling and cell spreading by IPP complex components;48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
R-HSA-446728;Cell junction organization;48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
R-HSA-109582;Hemostasis;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-112316;Neuronal System;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1266738;Developmental Biology;33;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1430728;Metabolism;19;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1474165;Reproduction;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
R-HSA-1474244;Extracellular matrix organization;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
R-HSA-162582;Signal Transduction;21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1640170;Cell Cycle;25;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1643685;Disease;24;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-168256;Immune System;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R-HSA-1852241;Organelle biogenesis and maintenance;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
R-HSA-382551;Transport of small molecules;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
