"source_symbol","target_symbol","source_id","target_id","Interactiontype","type","Source","Interationtype_processed"
"MIR92A2","SMC3","3928","5405","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","EMD","3928","5121","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","TUBB2B","3928","4508","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","RBL2","3928","2006","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","RAD21","3928","940","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","BRCC3","3928","285","inhibition","DATABASE","DATABASE","inhibition"
"TFAP2A","TFAP2A","3041","3041","interaction","DATABASE","DATABASE","interaction"
"TFAP2A","RBL2","3041","2006","interaction","DATABASE","DATABASE","interaction"
"MIR25","EMD","2221","5121","inhibition","DATABASE","DATABASE","inhibition"
"MIR193B","BUB1B","1511","5974","inhibition","DATABASE","DATABASE","inhibition"
"MIR193B","SMC3","1511","5405","inhibition","DATABASE","DATABASE","inhibition"
"MIR193B","BUB1","1511","5288","inhibition","DATABASE","DATABASE","inhibition"
"MIR193B","BRCC3","1511","285","inhibition","DATABASE","DATABASE","inhibition"
"MIR221","NUF2","671","620","inhibition","DATABASE","DATABASE","inhibition"
