"source_symbol","target_symbol","source_id","target_id","Interactiontype","type","Source","Interationtype_processed"
"RAC1","RAC1","5847;873","5847;873","interaction","STATE_TRANSITION","Literature","interaction"
"MIR149","NFIC","5786;4133","4749","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","ORAI2","5786;4133","4656;1880","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","ITGB3","5786;4133","3874","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","GPC1","5786;4133","1907","inhibition","DATABASE","DATABASE","inhibition"
"HRAS","HRAS","5558;4172;384;366","5558;4172;384;366","interaction","STATE_TRANSITION;UNKNOWN_TRANSITION","Literature","interaction"
"HRAS","BRAF","5558;4172;384;366","3210;798;525;334","stimulation","CATALYSIS","Literature","stimulation"
"TIAM1","RAC1","5282;3888","5847;873","stimulation","CATALYSIS","Literature","stimulation"
"TIAM1","TIAM1","5282;3888","5282;3888","interaction","STATE_TRANSITION","Literature","interaction"
"TIAM1","CDC42","5282;3888","3805;504","stimulation","CATALYSIS","Literature","stimulation"
"PTEN","TIAM1","5236;4058;3930;3434","5282;3888","inhibition;stimulation","BRIDGED:CATALYSIS+STATE_TRANSITION+CATALYSIS;BRIDGED:INHIBITION+STATE_TRANSITION+CATALYSIS","Literature","inhibition;stimulation"
"PTEN","PTEN","5236;4058;3930;3434","5236;4058;3930;3434","interaction","STATE_TRANSITION","Literature","interaction"
"PTEN","ITPR2","5236;4058;3930;3434","3729;3307","inhibition;stimulation","BRIDGED:CATALYSIS+STATE_TRANSITION+CATALYSIS;BRIDGED:INHIBITION+STATE_TRANSITION+CATALYSIS","Literature","inhibition;stimulation"
"PTEN","PRKCQ","5236;4058;3930;3434","1831;416","inhibition;stimulation","BRIDGED:CATALYSIS+STATE_TRANSITION+CATALYSIS;BRIDGED:INHIBITION+STATE_TRANSITION+CATALYSIS","Literature","inhibition;stimulation"
"PTEN","PDPK1","5236;4058;3930;3434","879","inhibition;stimulation","BRIDGED:CATALYSIS+STATE_TRANSITION+CATALYSIS;BRIDGED:INHIBITION+STATE_TRANSITION+CATALYSIS","Literature","inhibition;stimulation"
"STAT6","SOX2","4979","1478","interaction","DATABASE","DATABASE","interaction"
"RCE1","HRAS","4886","5558;4172;384;366","stimulation","CATALYSIS","Literature","stimulation"
"NFIC","HRAS","4749","5558;4172;384;366","interaction","DATABASE","DATABASE","interaction"
"NFIC","TP53","4749","4629;3119;2071;1931","interaction","DATABASE","DATABASE","interaction"
"NFIC","SP3","4749","283","interaction","DATABASE","DATABASE","interaction"
"ORAI2","ORAI2","4656;1880","4656;1880","interaction","STATE_TRANSITION","Literature","interaction"
"ORAI2","PRKCQ","4656;1880","1831;416","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"MIR31","TIAM1","4640","5282;3888","inhibition","DATABASE","DATABASE","inhibition"
"MIR31","PRKCE","4640","2263","inhibition","DATABASE","DATABASE","inhibition"
"TP53","HRAS","4629;3119;2071;1931","5558;4172;384;366","interaction","DATABASE","DATABASE","interaction"
"TP53","PTEN","4629;3119;2071;1931","5236;4058;3930;3434","interaction","DATABASE","DATABASE","interaction"
"TP53","TP53","4629;3119;2071;1931","4629;3119;2071;1931","interaction","DATABASE;STATE_TRANSITION","Literature","interaction"
"TP53","MIR34A","4629;3119;2071;1931","1690","interaction","DATABASE","DATABASE","interaction"
"FNTA","HRAS","4539;2048","5558;4172;384;366","stimulation","CATALYSIS","Literature","stimulation"
"FNTA","FNTA","4539;2048","4539;2048","interaction","COMPLEX_ASSOCIATION;STATE_TRANSITION","Literature","interaction"
"RUNX1","RUNX1","4256","4256","interaction","DATABASE","DATABASE","interaction"
"RUNX1","PRKCQ","4256","1831;416","interaction","DATABASE","DATABASE","interaction"
"MIR182","PTEN","4070","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"MIR182","RPS6","4070","2613","inhibition","DATABASE","DATABASE","inhibition"
"CDC42","CDC42","3805;504","3805;504","interaction","STATE_TRANSITION","Literature","interaction"
"ITPR2","ITPR2","3729;3307","3729;3307","interaction","STATE_TRANSITION","Literature","interaction"
"ITPR2","PRKCQ","3729;3307","1831;416","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"PIK3R3","TIAM1","3726;2204;1694","5282;3888","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"PIK3R3","PIK3R3","3726;2204;1694","3726;2204;1694","interaction","STATE_TRANSITION","Literature","interaction"
"PIK3R3","PDPK1","3726;2204;1694","879","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"ADCY5","HRAS","3578;2150","5558;4172;384;366","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"ADCY5","ADCY5","3578;2150","3578;2150","interaction","STATE_TRANSITION","Literature","interaction"
"NFATC2","ITGB3","3442","3874","interaction","DATABASE","DATABASE","interaction"
"BRAF","BRAF","3210;798;525;334","3210;798;525;334","interaction","STATE_TRANSITION","Literature","interaction"
"PLCG1","ITPR2","3101;989;267","3729;3307","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"PLCG1","PLCG1","3101;989;267","3101;989;267","interaction","STATE_TRANSITION","Literature","interaction"
"PLCG1","PRKCQ","3101;989;267","1831;416","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"ZDHHC9","HRAS","3077","5558;4172;384;366","stimulation","CATALYSIS","Literature","stimulation"
"SP1","HRAS","2643","5558;4172;384;366","interaction","DATABASE","DATABASE","interaction"
"SP1","PTEN","2643","5236;4058;3930;3434","interaction","DATABASE","DATABASE","interaction"
"SP1","TP53","2643","4629;3119;2071;1931","interaction","DATABASE","DATABASE","interaction"
"SP1","SP1","2643","2643","interaction","DATABASE","DATABASE","interaction"
"SP1","PRKCE","2643","2263","interaction","DATABASE","DATABASE","interaction"
"SP1","SP3","2643","283","interaction","DATABASE","DATABASE","interaction"
"SOS1","HRAS","2596;2372","5558;4172;384;366","inhibition","INHIBITION","Literature","inhibition"
"SOS1","SOS1","2596;2372","2596;2372","interaction","STATE_TRANSITION","Literature","interaction"
"PRKCE","PRKCQ","2263","1831;416","interaction","STATE_TRANSITION","Literature","interaction"
"MARCKS","MARCKS","1980;1230","1980;1230","interaction","STATE_TRANSITION","Literature","interaction"
"PRKCQ","BRAF","1831;416","3210;798;525;334","stimulation","CATALYSIS","Literature","stimulation"
"PRKCQ","MARCKS","1831;416","1980;1230","stimulation","CATALYSIS","Literature","stimulation"
"PRKCQ","PRKCQ","1831;416","1831;416","interaction","STATE_TRANSITION","Literature","interaction"
"MIR34A","PTEN","1690","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"MIR34A","ITGB3","1690","3874","inhibition","DATABASE","DATABASE","inhibition"
"MIR34A","PLCG1","1690","3101;989;267","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","HRAS","1688","5558;4172;384;366","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","TIAM1","1688","5282;3888","inhibition","DATABASE","DATABASE","inhibition"
"MIR181A1","HRAS","1402","5558;4172;384;366","inhibition","DATABASE","DATABASE","inhibition"
"MIR181A1","PTEN","1402","5236;4058;3930;3434","inhibition","INHIBITION","Literature","inhibition"
"MIR21","TIAM1","1217","5282;3888","inhibition","DATABASE","DATABASE","inhibition"
"MIR21","PTEN","1217","5236;4058;3930;3434","inhibition","DATABASE;INHIBITION","Literature","inhibition"
"MIR21","CDC42","1217","3805;504","inhibition","DATABASE","DATABASE","inhibition"
"MIR21","PRKCE","1217","2263","inhibition","DATABASE","DATABASE","inhibition"
"MIR21","MARCKS","1217","1980;1230","inhibition","DATABASE","DATABASE","inhibition"
"PDPK1","PRKCQ","879","1831;416","stimulation","CATALYSIS","Literature","stimulation"
"ICMT","HRAS","831","5558;4172;384;366","stimulation","CATALYSIS","Literature","stimulation"
"MIR221","TIAM1","671","5282;3888","inhibition","DATABASE","DATABASE","inhibition"
"MIR221","PTEN","671","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"MIR221","RUNX1","671","4256","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7A1","ITGB3","516","3874","inhibition","INHIBITION","Literature","inhibition"
"SP3","TP53","283","4629;3119;2071;1931","interaction","DATABASE","DATABASE","interaction"
"SP3","ITGB3","283","3874","interaction","DATABASE","DATABASE","interaction"
"SP3","SP1","283","2643","interaction","DATABASE","DATABASE","interaction"
"SP3","SP3","283","283","interaction","DATABASE","DATABASE","interaction"
