"source_symbol","target_symbol","source_id","target_id","Interactiontype","type","Source","Interationtype_processed"
"PAX3","PAX3","5936","5936","interaction","STATE_TRANSITION","Literature","interaction"
"PAX3","PTEN","5936","5236;4058;3930;3434","inhibition","BRIDGED:INHIBITION+TRANSLATION","Literature","inhibition"
"MIR101-2","FZD6","5837","5743","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","NFIC","5786;4133","4749","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","ITGB3","5786;4133","3874","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","NONO","5786;4133","657","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","FZD6","5766","5743","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","PTEN","5766","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"MIR214","PTEN","5632","5236;4058;3930;3434","inhibition","DATABASE;INHIBITION","Literature","inhibition"
"MIR214","NFIC","5632","4749","inhibition","DATABASE","DATABASE","inhibition"
"MIR214","TFAP2A","5632","3041","inhibition","INHIBITION","Literature","inhibition"
"HRAS","HRAS","5558;4172;384;366","5558;4172;384;366","interaction","STATE_TRANSITION;UNKNOWN_TRANSITION","Literature","interaction"
"HRAS","BRAF","5558;4172;384;366","3210;798;525;334","stimulation","CATALYSIS","Literature","stimulation"
"MIR29A","PTEN","5516","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"SFPQ","RPS15A","5443","3345","interaction","DATABASE","DATABASE","interaction"
"SFPQ","RPS15","5443","2416","interaction","DATABASE","DATABASE","interaction"
"TIAM1","TIAM1","5282;3888","5282;3888","interaction","STATE_TRANSITION","Literature","interaction"
"PTEN","TIAM1","5236;4058;3930;3434","5282;3888","inhibition;stimulation","BRIDGED:CATALYSIS+STATE_TRANSITION+CATALYSIS;BRIDGED:INHIBITION+STATE_TRANSITION+CATALYSIS","Literature","inhibition;stimulation"
"PTEN","PTEN","5236;4058;3930;3434","5236;4058;3930;3434","interaction","STATE_TRANSITION","Literature","interaction"
"PTEN","ITPR2","5236;4058;3930;3434","3729;3307","inhibition;stimulation","BRIDGED:CATALYSIS+STATE_TRANSITION+CATALYSIS;BRIDGED:INHIBITION+STATE_TRANSITION+CATALYSIS","Literature","inhibition;stimulation"
"PTEN","PRKCQ","5236;4058;3930;3434","1831;416","inhibition;stimulation","BRIDGED:CATALYSIS+STATE_TRANSITION+CATALYSIS;BRIDGED:INHIBITION+STATE_TRANSITION+CATALYSIS","Literature","inhibition;stimulation"
"PTEN","PDPK1","5236;4058;3930;3434","879","inhibition;stimulation","BRIDGED:CATALYSIS+STATE_TRANSITION+CATALYSIS;BRIDGED:INHIBITION+STATE_TRANSITION+CATALYSIS","Literature","inhibition;stimulation"
"RCE1","HRAS","4886","5558;4172;384;366","stimulation","CATALYSIS","Literature","stimulation"
"RELA","PTEN","4858","5236;4058;3930;3434","interaction","DATABASE","DATABASE","interaction"
"RELA","TP53","4858","4629;3119;2071;1931","interaction","DATABASE","DATABASE","interaction"
"RELA","NOTCH1","4858","4330","interaction","DATABASE","DATABASE","interaction"
"RELA","SP1","4858","2643","interaction","DATABASE","DATABASE","interaction"
"RELA","MIR21","4858","1217","interaction","DATABASE","DATABASE","interaction"
"NFIC","HRAS","4749","5558;4172;384;366","interaction","DATABASE","DATABASE","interaction"
"NFIC","TP53","4749","4629;3119;2071;1931","interaction","DATABASE","DATABASE","interaction"
"NFIC","TFAP2A","4749","3041","interaction","DATABASE","DATABASE","interaction"
"NFIC","SP3","4749","283","interaction","DATABASE","DATABASE","interaction"
"TP53","HRAS","4629;3119;2071;1931","5558;4172;384;366","interaction","DATABASE","DATABASE","interaction"
"TP53","PTEN","4629;3119;2071;1931","5236;4058;3930;3434","interaction","DATABASE","DATABASE","interaction"
"TP53","TP53","4629;3119;2071;1931","4629;3119;2071;1931","interaction","DATABASE;STATE_TRANSITION","Literature","interaction"
"TP53","NOTCH1","4629;3119;2071;1931","4330","interaction","DATABASE","DATABASE","interaction"
"TP53","MIR34A","4629;3119;2071;1931","1690","interaction","DATABASE","DATABASE","interaction"
"FNTA","HRAS","4539;2048","5558;4172;384;366","stimulation","CATALYSIS","Literature","stimulation"
"FNTA","FNTA","4539;2048","4539;2048","interaction","COMPLEX_ASSOCIATION;STATE_TRANSITION","Literature","interaction"
"NOTCH1","PTEN","4330","5236;4058;3930;3434","interaction","DATABASE","DATABASE","interaction"
"CSNK2A1","PTEN","4125","5236;4058;3930;3434","stimulation","CATALYSIS","Literature","stimulation"
"MIR182","PTEN","4070","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"MIR182","RPS6","4070","2613","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","FZD6","3928","5743","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","PTEN","3928","5236;4058;3930;3434","inhibition","DATABASE;INHIBITION","Literature","inhibition"
"MIR92A2","RPS15A","3928","3345","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","RPS15","3928","2416","inhibition","DATABASE","DATABASE","inhibition"
"MIR29B2","SFPQ","3915","5443","inhibition","DATABASE","DATABASE","inhibition"
"MIR29B2","PTEN","3915","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"ITPR2","ITPR2","3729;3307","3729;3307","interaction","STATE_TRANSITION","Literature","interaction"
"ITPR2","PRKCQ","3729;3307","1831;416","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"PIK3R3","TIAM1","3726;2204;1694","5282;3888","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"PIK3R3","PIK3R3","3726;2204;1694","3726;2204;1694","interaction","STATE_TRANSITION","Literature","interaction"
"PIK3R3","PDPK1","3726;2204;1694","879","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"ADCY5","HRAS","3578;2150","5558;4172;384;366","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"ADCY5","ADCY5","3578;2150","3578;2150","interaction","STATE_TRANSITION","Literature","interaction"
"NFATC2","ITGB3","3442","3874","interaction","DATABASE","DATABASE","interaction"
"BRAF","BRAF","3210;798;525;334","3210;798;525;334","interaction","STATE_TRANSITION","Literature","interaction"
"ZDHHC9","HRAS","3077","5558;4172;384;366","stimulation","CATALYSIS","Literature","stimulation"
"TFAP2A","PTEN","3041","5236;4058;3930;3434","interaction","DATABASE","DATABASE","interaction"
"TFAP2A","TFAP2A","3041","3041","interaction","DATABASE","DATABASE","interaction"
"SP1","HRAS","2643","5558;4172;384;366","interaction","DATABASE","DATABASE","interaction"
"SP1","PTEN","2643","5236;4058;3930;3434","interaction","DATABASE","DATABASE","interaction"
"SP1","RELA","2643","4858","interaction","DATABASE","DATABASE","interaction"
"SP1","TP53","2643","4629;3119;2071;1931","interaction","DATABASE","DATABASE","interaction"
"SP1","NOTCH1","2643","4330","interaction","DATABASE","DATABASE","interaction"
"SP1","SP1","2643","2643","interaction","DATABASE","DATABASE","interaction"
"SP1","SP3","2643","283","interaction","DATABASE","DATABASE","interaction"
"SOS1","HRAS","2596;2372","5558;4172;384;366","inhibition","INHIBITION","Literature","inhibition"
"SOS1","SOS1","2596;2372","2596;2372","interaction","STATE_TRANSITION","Literature","interaction"
"MIR222","PTEN","2254","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"MIR222","SLC35A2","2254","342","inhibition","DATABASE","DATABASE","inhibition"
"MIR25","PTEN","2221","5236;4058;3930;3434","inhibition","DATABASE;INHIBITION","Literature","inhibition"
"MIR25","NFIC","2221","4749","inhibition","DATABASE","DATABASE","inhibition"
"PRKCQ","BRAF","1831;416","3210;798;525;334","stimulation","CATALYSIS","Literature","stimulation"
"PRKCQ","PRKCQ","1831;416","1831;416","interaction","STATE_TRANSITION","Literature","interaction"
