"source_symbol","target_symbol","source_id","target_id","Interactiontype","type","Source","Interationtype_processed"
"ESRRA","ESRRA","6016","6016","interaction","DATABASE","DATABASE","interaction"
"ESRRA","SPP1","6016","4547","interaction","DATABASE","DATABASE","interaction"
"MIR149","ETS2","5786;4133","4027","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","ITGB3","5786;4133","3874","inhibition","DATABASE","DATABASE","inhibition"
"MIR29A","MMP2","5516","4741;4524","inhibition","DATABASE","DATABASE","inhibition"
"MIR29A","CYR61","5516","4383","inhibition","DATABASE","DATABASE","inhibition"
"TBP","LOXL4","5488","5433","interaction","DATABASE","DATABASE","interaction"
"TBP","MYC","5488","3426;322","interaction","DATABASE","DATABASE","interaction"
"CREB1","CREB1","5438;2147","5438;2147","interaction","DATABASE;STATE_TRANSITION","Literature","interaction"
"CREB1","MMP2","5438;2147","4741;4524","stimulation","BRIDGED:CATALYSIS+TRANSLATION","Literature","stimulation"
"CREB1","CYR61","5438;2147","4383","inhibition;interaction","BRIDGED:INHIBITION+TRANSLATION;DATABASE","Literature","inhibition"
"CREB1","FOSL1","5438;2147","4327","interaction","DATABASE","DATABASE","interaction"
"CREB1","MMP14","5438;2147","3860","stimulation","BRIDGED:CATALYSIS+TRANSLATION","Literature","stimulation"
"CREB1","TFAP2A","5438;2147","3041","inhibition;interaction","BRIDGED:INHIBITION+TRANSLATION;DATABASE","Literature","inhibition"
"CREB1","FOS","5438;2147","2444;2022;1174","interaction","DATABASE","DATABASE","interaction"
"STAT3","STAT3","5418;5348;3671","5418;5348;3671","interaction","STATE_TRANSITION","Literature","interaction"
"STAT3","MMP2","5418;5348;3671","4741;4524","stimulation","BRIDGED:CATALYSIS+TRANSLATION","Literature","stimulation"
"STAT3","TP53","5418;5348;3671","4629;3119;2071;1931","inhibition","BRIDGED:INHIBITION+TRANSLATION","Literature","inhibition"
"STAT3","MYC","5418;5348;3671","3426;322","interaction","DATABASE","DATABASE","interaction"
"STAT3","FOS","5418;5348;3671","2444;2022;1174","interaction","DATABASE","DATABASE","interaction"
"STAT3","MIR21","5418;5348;3671","1217","interaction","DATABASE","DATABASE","interaction"
"POU2F1","SPP1","5262","4547","interaction","DATABASE","DATABASE","interaction"
"MIR146A","SPP1","5000","4547","inhibition","DATABASE","DATABASE","inhibition"
"MIR146A","SMAD2","5000","3831;3719;323","inhibition","DATABASE","DATABASE","inhibition"
"MMP2","MMP2","4741;4524","4741;4524","stimulation","CATALYSIS","Literature","stimulation"
"MIR9-3","MMP2","4732","4741;4524","inhibition","DATABASE","DATABASE","inhibition"
"MIR9-3","NFKB1","4732","690;178","inhibition","INHIBITION","Literature","inhibition"
"TP53","MMP2","4629;3119;2071;1931","4741;4524","interaction","DATABASE","DATABASE","interaction"
"TP53","TP53","4629;3119;2071;1931","4629;3119;2071;1931","interaction","DATABASE;STATE_TRANSITION","Literature","interaction"
"TP53","MIR34A","4629;3119;2071;1931","1690","interaction","DATABASE","DATABASE","interaction"
"ETS1","TBP","4605","5488","interaction","DATABASE","DATABASE","interaction"
"ETS1","MMP2","4605","4741;4524","interaction","DATABASE","DATABASE","interaction"
"ETS1","FOSL1","4605","4327","interaction","DATABASE","DATABASE","interaction"
"ETS1","TFAP2A","4605","3041","interaction","DATABASE","DATABASE","interaction"
"ETS1","SP1","4605","2643","interaction","DATABASE","DATABASE","interaction"
"ETS1","MYB","4605","2139","interaction","DATABASE","DATABASE","interaction"
"ETS1","NR3C1","4605","1458","interaction","DATABASE","DATABASE","interaction"
"ETS1","MIR21","4605","1217","interaction","DATABASE","DATABASE","interaction"
"ETS1","NFKB1","4605","690;178","interaction","DATABASE","DATABASE","interaction"
"ATF2","ITGB8","4588","5774","interaction","DATABASE","DATABASE","interaction"
