"source_symbol","target_symbol","source_id","target_id","Interactiontype","type","Source","Interationtype_processed"
"ESRRA","ESRRA","6016","6016","interaction","DATABASE","DATABASE","interaction"
"ESRRA","SPP1","6016","4547","interaction","DATABASE","DATABASE","interaction"
"MIR214","TWIST1","5632","1417","inhibition","DATABASE","DATABASE","inhibition"
"STAT3","STAT3","5418;5348;3671","5418;5348;3671","interaction","STATE_TRANSITION","Literature","interaction"
"STAT3","FOXM1","5418;5348;3671","5217","interaction","DATABASE","DATABASE","interaction"
"STAT3","TP53","5418;5348;3671","4629;3119;2071;1931","inhibition","BRIDGED:INHIBITION+TRANSLATION","Literature","inhibition"
"STAT3","MMP1","5418;5348;3671","3551;280","interaction","DATABASE","DATABASE","interaction"
"STAT3","MYC","5418;5348;3671","3426;322","interaction","DATABASE","DATABASE","interaction"
"STAT3","TWIST1","5418;5348;3671","1417","interaction","DATABASE","DATABASE","interaction"
"POU2F1","SPP1","5262","4547","interaction","DATABASE","DATABASE","interaction"
"MIR146A","SPP1","5000","4547","inhibition","DATABASE","DATABASE","inhibition"
"TP53","TP53","4629;3119;2071;1931","4629;3119;2071;1931","interaction","DATABASE;STATE_TRANSITION","Literature","interaction"
"TP53","HIF1A","4629;3119;2071;1931","4373;4108;3720","interaction","DATABASE","DATABASE","interaction"
"HIF1A","FOXM1","4373;4108;3720","5217","interaction","DATABASE","DATABASE","interaction"
"HIF1A","BMI1","4373;4108;3720","5139","interaction","DATABASE","DATABASE","interaction"
"HIF1A","HIF1A","4373;4108;3720","4373;4108;3720","interaction","STATE_TRANSITION","Literature","interaction"
"HIF1A","TWIST1","4373;4108;3720","1417","interaction","DATABASE","DATABASE","interaction"
"HIF1A","CDH1","4373;4108;3720","225","interaction","DATABASE","DATABASE","interaction"
"MIR182","SMARCD3","4070","1125","inhibition","DATABASE","DATABASE","inhibition"
"MMP1","MMP1","3551;280","3551;280","interaction","STATE_TRANSITION","Literature","interaction"
"MYC","FOXM1","3426;322","5217","interaction","DATABASE","DATABASE","interaction"
"MYC","BMI1","3426;322","5139","interaction","DATABASE","DATABASE","interaction"
"MYC","SPP1","3426;322","4547","interaction","DATABASE","DATABASE","interaction"
"MYC","MYC","3426;322","3426;322","interaction","DATABASE;STATE_TRANSITION","Literature","interaction"
"MAPK3","MYC","2796;2606;2190","3426;322","stimulation","CATALYSIS","Literature","stimulation"
"MAPK3","MAPK3","2796;2606;2190","2796;2606;2190","interaction","STATE_TRANSITION","Literature","interaction"
"MAPK3","TWIST1","2796;2606;2190","1417","stimulation","BRIDGED:UNKNOWN_CATALYSIS+TRANSLATION","Literature","stimulation"
"SP1","FOXM1","2643","5217","interaction","DATABASE","DATABASE","interaction"
"SP1","BMI1","2643","5139","interaction","DATABASE","DATABASE","interaction"
"SP1","TP53","2643","4629;3119;2071;1931","interaction","DATABASE","DATABASE","interaction"
"SP1","SPP1","2643","4547","interaction","DATABASE","DATABASE","interaction"
"SP1","MMP1","2643","3551;280","interaction","DATABASE","DATABASE","interaction"
"SP1","MYC","2643","3426;322","interaction","DATABASE","DATABASE","interaction"
"SP1","SP1","2643","2643","interaction","DATABASE","DATABASE","interaction"
"SP1","CDH2","2643","2269","interaction","DATABASE","DATABASE","interaction"
"SP1","MYB","2643","2139","interaction","DATABASE","DATABASE","interaction"
"SP1","NR3C1","2643","1458","interaction","DATABASE","DATABASE","interaction"
"SP1","CDH1","2643","225","interaction","DATABASE","DATABASE","interaction"
"MYB","SPP1","2139","4547","interaction","DATABASE","DATABASE","interaction"
"MYB","MYB","2139","2139","interaction","DATABASE","DATABASE","interaction"
"MYB","NR3C1","2139","1458","interaction","DATABASE","DATABASE","interaction"
"FOXD3","TWIST1","2008","1417","inhibition","BRIDGED:INHIBITION+TRANSLATION","Literature","inhibition"
