"source_symbol","target_symbol","source_id","target_id","Interactiontype","type","Source","Interationtype_processed"
"MIR149","ORAI2","5786;4133","4656;1880","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","ITGB3","5786;4133","3874","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","PTEN","5766","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","TMSB4X","5766","5169","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","PRKCE","5766","2263","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","MGLL","5766","2167","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","MARCKS","5766","1980;1230","inhibition","DATABASE","DATABASE","inhibition"
"MIR29A","PTEN","5516","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"MIR29A","TMSB4X","5516","5169","inhibition","DATABASE","DATABASE","inhibition"
"SNAI1","ATP1B1","5401","1497","interaction","DATABASE","DATABASE","interaction"
"TIAM1","TIAM1","5282;3888","5282;3888","interaction","STATE_TRANSITION","Literature","interaction"
"PTEN","TIAM1","5236;4058;3930;3434","5282;3888","inhibition;stimulation","BRIDGED:CATALYSIS+STATE_TRANSITION+CATALYSIS;BRIDGED:INHIBITION+STATE_TRANSITION+CATALYSIS","Literature","inhibition;stimulation"
"PTEN","PTEN","5236;4058;3930;3434","5236;4058;3930;3434","interaction","STATE_TRANSITION","Literature","interaction"
"PTEN","ITPR2","5236;4058;3930;3434","3729;3307","inhibition;stimulation","BRIDGED:CATALYSIS+STATE_TRANSITION+CATALYSIS;BRIDGED:INHIBITION+STATE_TRANSITION+CATALYSIS","Literature","inhibition;stimulation"
"PTEN","PRKCQ","5236;4058;3930;3434","1831;416","inhibition;stimulation","BRIDGED:CATALYSIS+STATE_TRANSITION+CATALYSIS;BRIDGED:INHIBITION+STATE_TRANSITION+CATALYSIS","Literature","inhibition;stimulation"
"PTEN","PDPK1","5236;4058;3930;3434","879","inhibition;stimulation","BRIDGED:CATALYSIS+STATE_TRANSITION+CATALYSIS;BRIDGED:INHIBITION+STATE_TRANSITION+CATALYSIS","Literature","inhibition;stimulation"
"ORAI2","ORAI2","4656;1880","4656;1880","interaction","STATE_TRANSITION","Literature","interaction"
"ORAI2","PRKCQ","4656;1880","1831;416","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"RUNX1","RUNX1","4256","4256","interaction","DATABASE","DATABASE","interaction"
"RUNX1","PRKCQ","4256","1831;416","interaction","DATABASE","DATABASE","interaction"
"ITPR2","ITPR2","3729;3307","3729;3307","interaction","STATE_TRANSITION","Literature","interaction"
"ITPR2","PRKCQ","3729;3307","1831;416","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"PIK3R3","TIAM1","3726;2204;1694","5282;3888","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"PIK3R3","PIK3R3","3726;2204;1694","3726;2204;1694","interaction","STATE_TRANSITION","Literature","interaction"
"PIK3R3","PDPK1","3726;2204;1694","879","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"NFATC2","ITGB3","3442","3874","interaction","DATABASE","DATABASE","interaction"
"BRAF","BRAF","3210;798;525;334","3210;798;525;334","interaction","STATE_TRANSITION","Literature","interaction"
"PLCG1","ITPR2","3101;989;267","3729;3307","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"PLCG1","PLCG1","3101;989;267","3101;989;267","interaction","STATE_TRANSITION","Literature","interaction"
"PLCG1","PRKCQ","3101;989;267","1831;416","stimulation","BRIDGED:CATALYSIS+CATALYSIS","Literature","stimulation"
"MIR148A","TMSB4X","2854","5169","inhibition","DATABASE","DATABASE","inhibition"
"MIR148A","PDPK1","2854","879","inhibition","DATABASE","DATABASE","inhibition"
"PRKCE","PRKCQ","2263","1831;416","interaction","STATE_TRANSITION","Literature","interaction"
"MARCKS","MARCKS","1980;1230","1980;1230","interaction","STATE_TRANSITION","Literature","interaction"
"PRKCQ","BRAF","1831;416","3210;798;525;334","stimulation","CATALYSIS","Literature","stimulation"
"PRKCQ","MARCKS","1831;416","1980;1230","stimulation","CATALYSIS","Literature","stimulation"
"PRKCQ","PRKCQ","1831;416","1831;416","interaction","STATE_TRANSITION","Literature","interaction"
"MIR34A","SNAI1","1690","5401","inhibition","DATABASE","DATABASE","inhibition"
"MIR34A","PTEN","1690","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"MIR34A","ITGB3","1690","3874","inhibition","DATABASE","DATABASE","inhibition"
"MIR34A","PLCG1","1690","3101;989;267","inhibition","DATABASE","DATABASE","inhibition"
"NR3C1","ATP1B1","1458","1497","interaction","DATABASE","DATABASE","interaction"
"NR3C1","NR3C1","1458","1458","interaction","DATABASE","DATABASE","interaction"
"PDPK1","PRKCQ","879","1831;416","stimulation","CATALYSIS","Literature","stimulation"
"MIRLET7A1","ITGB3","516","3874","inhibition","INHIBITION","Literature","inhibition"
"SP3","ITGB3","283","3874","interaction","DATABASE","DATABASE","interaction"
"SP3","SP3","283","283","interaction","DATABASE","DATABASE","interaction"
