"source_symbol","target_symbol","source_id","target_id","Interactiontype","type","Source","Interationtype_processed"
"E2F4","POMC","5799","4920","interaction","DATABASE","DATABASE","interaction"
"E2F4","TP53","5799","4629;3119;2071;1931","interaction","DATABASE","DATABASE","interaction"
"MIR205","ACSL4","5766","4476","inhibition","DATABASE","DATABASE","inhibition"
"SFPQ","RPS15A","5443","3345","interaction","DATABASE","DATABASE","interaction"
"SFPQ","RPS15","5443","2416","interaction","DATABASE","DATABASE","interaction"
"TP53","POMC","4629;3119;2071;1931","4920","interaction","DATABASE","DATABASE","interaction"
"TP53","TP53","4629;3119;2071;1931","4629;3119;2071;1931","interaction","DATABASE;STATE_TRANSITION","Literature","interaction"
"TP53","MIR34A","4629;3119;2071;1931","1690","interaction","DATABASE","DATABASE","interaction"
"MIR182","RPS6","4070","2613","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","SLC6A8","3928","5911","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","RPS15A","3928","3345","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","RPS15","3928","2416","inhibition","DATABASE","DATABASE","inhibition"
"MIR34A","ACSL4","1690","4476","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","ALDH7A1","1688","1762","inhibition","DATABASE","DATABASE","inhibition"
"MIR193B","SFPQ","1511","5443","inhibition","DATABASE","DATABASE","inhibition"
"MIR193B","ALDH7A1","1511","1762","inhibition","DATABASE","DATABASE","inhibition"
"MIR193B","NONO","1511","657","inhibition","DATABASE","DATABASE","inhibition"
"NR3C1","POMC","1458","4920","interaction","DATABASE","DATABASE","interaction"
"NR3C1","NR3C1","1458","1458","interaction","DATABASE","DATABASE","interaction"
"MIR200B","ACSL4","1296","4476","inhibition","DATABASE","DATABASE","inhibition"
"USF1","POMC","902","4920","interaction","DATABASE","DATABASE","interaction"
"NONO","RPS15A","657","3345","interaction","DATABASE","DATABASE","interaction"
"NONO","RPS15","657","2416","interaction","DATABASE","DATABASE","interaction"
"TFDP1","POMC","410","4920","interaction","DATABASE","DATABASE","interaction"
"NR4A1","POMC","304","4920","interaction","DATABASE","DATABASE","interaction"
"NR4A1","NR3C1","304","1458","interaction","DATABASE","DATABASE","interaction"
