"source_symbol","target_symbol","source_id","target_id","Interactiontype","type","Source","Interationtype_processed"
"MIR149","PQBP1","5786;4133","5021","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","HSPA8","5786;4133","1534","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","NONO","5786;4133","657","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","CSTF2","5786;4133","393","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","XPOT","5766","1068","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","CSTF2","5766","393","inhibition","DATABASE","DATABASE","inhibition"
"SFPQ","RPS15A","5443","3345","interaction","DATABASE","DATABASE","interaction"
"SFPQ","RPS15","5443","2416","interaction","DATABASE","DATABASE","interaction"
"MIR9-3","XPOT","4732","1068","inhibition","DATABASE","DATABASE","inhibition"
"MIR182","RPS6","4070","2613","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","RPS15A","3928","3345","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","RPS15","3928","2416","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","HSPA8","3928","1534","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","XPOT","3928","1068","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","CSTF2","3928","393","inhibition","DATABASE","DATABASE","inhibition"
"MIR222","SKIV2L","2254","4242","inhibition","DATABASE","DATABASE","inhibition"
"MIR25","HSPA8","2221","1534","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","NUP153","1688","2903","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","WDR3","1688","2218","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","HSPA8","1688","1534","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","CSTF2","1688","393","inhibition","DATABASE","DATABASE","inhibition"
"MIR338","HSPA8","721","1534","inhibition","DATABASE","DATABASE","inhibition"
"NONO","RPS15A","657","3345","interaction","DATABASE","DATABASE","interaction"
"NONO","RPS15","657","2416","interaction","DATABASE","DATABASE","interaction"
