"source_symbol","target_symbol","source_id","target_id","Interactiontype","type","Source","Interationtype_processed"
"ESRRA","ESRRA","6016","6016","interaction","DATABASE","DATABASE","interaction"
"ESRRA","SPP1","6016","4547","interaction","DATABASE","DATABASE","interaction"
"PAX3","PAX3","5936","5936","interaction","STATE_TRANSITION","Literature","interaction"
"PAX3","PTEN","5936","5236;4058;3930;3434","inhibition","BRIDGED:INHIBITION+TRANSLATION","Literature","inhibition"
"PAX3","MYC","5936","3426;322","inhibition","BRIDGED:INHIBITION+TRANSLATION","Literature","inhibition"
"HGFAC","HGF","5918","2301;782","stimulation","CATALYSIS","Literature","stimulation"
"RAC1","RAC1","5847;873","5847;873","interaction","STATE_TRANSITION","Literature","interaction"
"MIR101-2","RAC1","5837","5847;873","inhibition","DATABASE","DATABASE","inhibition"
"MIR101-2","FZD6","5837","5743","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","NFIC","5786;4133","4749","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","ORAI2","5786;4133","4656;1880","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","ETS2","5786;4133","4027","inhibition","DATABASE","DATABASE","inhibition"
"MIR149","ITGB3","5786;4133","3874","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","FZD6","5766","5743","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","PTEN","5766","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","CYR61","5766","4383","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","ETS2","5766","4027","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","YWHAH","5766","3185","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","PRKCE","5766","2263","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","MGLL","5766","2167","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","MARCKS","5766","1980;1230","inhibition","DATABASE","DATABASE","inhibition"
"MIR205","CUL5","5766","251","inhibition","DATABASE","DATABASE","inhibition"
"MIR214","PTEN","5632","5236;4058;3930;3434","inhibition","DATABASE;INHIBITION","Literature","inhibition"
"MIR214","NFIC","5632","4749","inhibition","DATABASE","DATABASE","inhibition"
"MIR214","TFAP2A","5632","3041","inhibition","INHIBITION","Literature","inhibition"
"MIR214","TFAP2C","5632","2153","inhibition","INHIBITION","Literature","inhibition"
"HRAS","HRAS","5558;4172;384;366","5558;4172;384;366","interaction","STATE_TRANSITION;UNKNOWN_TRANSITION","Literature","interaction"
"HRAS","BRAF","5558;4172;384;366","3210;798;525;334","stimulation","CATALYSIS","Literature","stimulation"
"MIR29A","PTEN","5516","5236;4058;3930;3434","inhibition","DATABASE","DATABASE","inhibition"
"MIR29A","MMP2","5516","4741;4524","inhibition","DATABASE","DATABASE","inhibition"
"MIR29A","CYR61","5516","4383","inhibition","DATABASE","DATABASE","inhibition"
"MIR29A","CDC42","5516","3805;504","inhibition","DATABASE","DATABASE","inhibition"
"HPN","HGF","5471","2301;782","stimulation","CATALYSIS","Literature","stimulation"
"BAD","BAD","5448;3863;3399;2980;2510;1473;468","5448;3863;3399;2980;2510;1473;468","interaction","STATE_TRANSITION","Literature","interaction"
"CREB1","CREB1","5438;2147","5438;2147","interaction","DATABASE;STATE_TRANSITION","Literature","interaction"
"CREB1","MMP2","5438;2147","4741;4524","stimulation","BRIDGED:CATALYSIS+TRANSLATION","Literature","stimulation"
"CREB1","CYR61","5438;2147","4383","inhibition;interaction","BRIDGED:INHIBITION+TRANSLATION;DATABASE","Literature","inhibition"
"CREB1","FOSL1","5438;2147","4327","interaction","DATABASE","DATABASE","interaction"
"CREB1","MMP14","5438;2147","3860","stimulation","BRIDGED:CATALYSIS+TRANSLATION","Literature","stimulation"
