"source_symbol","target_symbol","source_id","target_id","Interactiontype","type","Source","Interationtype_processed"
"MIR149","HSPA8","5786;4133","1534","inhibition","DATABASE","DATABASE","inhibition"
"CREB1","CREB1","5438;2147","5438;2147","interaction","DATABASE;STATE_TRANSITION","Literature","interaction"
"CREB1","CD59","5438;2147","2002","interaction","DATABASE","DATABASE","interaction"
"MIR92A2","CD59","3928","2002","inhibition","DATABASE","DATABASE","inhibition"
"MIR92A2","HSPA8","3928","1534","inhibition","DATABASE","DATABASE","inhibition"
"MIR25","HSPA8","2221","1534","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","USO1","1688","5505","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","TMEM115","1688","2759","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","CD59","1688","2002","inhibition","DATABASE","DATABASE","inhibition"
"MIRLET7B","HSPA8","1688","1534","inhibition","DATABASE","DATABASE","inhibition"
"MIR338","HSPA8","721","1534","inhibition","DATABASE","DATABASE","inhibition"
