"gene","category","ifcurated"
"PAX3","neighbor","TRUE"
"MIR101-2","neighbor","TRUE"
"MIR149","neighbor","TRUE"
"MIR205","neighbor","TRUE"
"FZD6","exp","FALSE"
"MIR214","neighbor","TRUE"
"HRAS","mty","TRUE"
"MIR29A","neighbor","TRUE"
"SFPQ","neighbor","FALSE"
"TIAM1","neighbor","TRUE"
"PTEN","mty","TRUE"
"RCE1","neighbor","TRUE"
"RELA","neighbor","FALSE"
"NFIC","neighbor","FALSE"
"TP53","neighbor","TRUE"
"FNTA","neighbor","TRUE"
"NOTCH1","neighbor","FALSE"
"TAF2","exp","FALSE"
"CSNK2A1","neighbor","TRUE"
"MIR182","neighbor","TRUE"
"MIR92A2","neighbor","TRUE"
"MIR29B2","neighbor","TRUE"
"ITGB3","exp","TRUE"
"ITPR2","neighbor","TRUE"
"PIK3R3","exp","TRUE"
"ADCY5","neighbor","TRUE"
"NFATC2","neighbor","FALSE"
"RPS15A","mty","FALSE"
"BRAF","neighbor","TRUE"
"ZDHHC9","neighbor","TRUE"
"TFAP2A","neighbor","TRUE"
"NUP153","exp","FALSE"
"SP1","neighbor","FALSE"
"RPS6","exp","FALSE"
"SOS1","neighbor","TRUE"
"RPS15","mty","FALSE"
"MIR222","neighbor","TRUE"
"EPS15","exp","FALSE"
"MIR25","neighbor","TRUE"
"PRKCQ","neighbor","TRUE"
"MIR34A","neighbor","TRUE"
"MIRLET7B","neighbor","TRUE"
"MIR193B","neighbor","TRUE"
"MIR181A1","neighbor","TRUE"
"MIR200B","neighbor","TRUE"
"RBPJ","neighbor","FALSE"
"MIR21","neighbor","TRUE"
"PDPK1","neighbor","TRUE"
"ICMT","neighbor","TRUE"
"MIR221","neighbor","TRUE"
"NONO","neighbor","FALSE"
"MIRLET7A1","neighbor","TRUE"
"MIR30D","neighbor","TRUE"
"MIR155","neighbor","TRUE"
"SLC35A2","mty","FALSE"
"SP3","neighbor","FALSE"
