"gene","category","ifcurated"
"ESRRA","neighbor","FALSE"
"MIR214","neighbor","TRUE"
"STAT3","neighbor","TRUE"
"POU2F1","neighbor","FALSE"
"FOXM1","neighbor","FALSE"
"BMI1","neighbor","FALSE"
"MIR146A","neighbor","TRUE"
"TP53","neighbor","TRUE"
"SPP1","both","FALSE"
"HIF1A","neighbor","TRUE"
"TAF2","exp","FALSE"
"POLR3G","exp","FALSE"
"MIR182","neighbor","TRUE"
"MMP1","neighbor","TRUE"
"MYC","neighbor","TRUE"
"MAPK3","neighbor","TRUE"
"SP1","neighbor","FALSE"
"CDH2","neighbor","TRUE"
"MYB","neighbor","TRUE"
"FOXD3","neighbor","TRUE"
"MIRLET7B","neighbor","TRUE"
"NR3C1","neighbor","FALSE"
"TWIST1","mty","TRUE"
"MIR181A1","neighbor","TRUE"
"SMARCD3","mty","FALSE"
"USF1","neighbor","FALSE"
"NFKB1","neighbor","TRUE"
"CDH1","neighbor","TRUE"
