"gene","category","ifcurated"
"MIR149","neighbor","TRUE"
"MIR205","neighbor","TRUE"
"MIR29A","neighbor","TRUE"
"SNAI1","neighbor","TRUE"
"TIAM1","neighbor","TRUE"
"PTEN","neighbor","TRUE"
"TMSB4X","mty","FALSE"
"ORAI2","neighbor","TRUE"
"RUNX1","neighbor","FALSE"
"ITGB3","exp","TRUE"
"ITPR2","neighbor","TRUE"
"PIK3R3","exp","TRUE"
"NFATC2","neighbor","FALSE"
"BRAF","neighbor","TRUE"
"PLCG1","neighbor","TRUE"
"MIR148A","neighbor","TRUE"
"PRKCE","neighbor","TRUE"
"MGLL","mty","FALSE"
"MARCKS","neighbor","TRUE"
"PRKCQ","mty","TRUE"
"MIR34A","neighbor","TRUE"
"ATP1B1","exp","FALSE"
"NR3C1","neighbor","FALSE"
"PDPK1","neighbor","TRUE"
"MIRLET7A1","neighbor","TRUE"
"SP3","neighbor","FALSE"
