"gene","category","ifcurated"
"POLR2A","neighbor","FALSE"
"IRF4","both","FALSE"
"E2F4","neighbor","FALSE"
"MIR149","neighbor","TRUE"
"YBX1","neighbor","TRUE"
"MIR214","neighbor","TRUE"
"HRAS","mty","TRUE"
"STAT1","neighbor","FALSE"
"MIR29A","neighbor","TRUE"
"TBP","neighbor","FALSE"
"BAD","neighbor","TRUE"
"CREB1","neighbor","TRUE"
"STAT3","neighbor","TRUE"
"CEBPB","neighbor","FALSE"
"TIAM1","neighbor","TRUE"
"POU2F1","neighbor","FALSE"
"ISG15","neighbor","FALSE"
"PTEN","neighbor","TRUE"
"FOXM1","neighbor","FALSE"
"BMI1","neighbor","FALSE"
"STAT6","neighbor","FALSE"
"POMC","mty","TRUE"
"RCE1","neighbor","TRUE"
"RELA","neighbor","FALSE"
"XBP1","neighbor","FALSE"
"NFIC","neighbor","FALSE"
"MMP2","both","TRUE"
"MIR9-3","neighbor","TRUE"
"ORAI2","neighbor","TRUE"
"MIR31","neighbor","TRUE"
"TP53","neighbor","TRUE"
"ETS1","neighbor","FALSE"
"ATF2","neighbor","FALSE"
"FNTA","neighbor","TRUE"
"CYR61","neighbor","TRUE"
"HIF1A","neighbor","TRUE"
"FOSL1","neighbor","FALSE"
"RUNX1","neighbor","FALSE"
"MAP2K4","neighbor","TRUE"
"ETS2","neighbor","FALSE"
"MIR92A2","neighbor","TRUE"
"MIR29B2","neighbor","TRUE"
"MIR203A","neighbor","TRUE"
"MMP14","neighbor","TRUE"
"ITPR2","neighbor","TRUE"
"PIK3R3","exp","TRUE"
"MAP3K1","exp","TRUE"
"ADCY5","neighbor","TRUE"
"MMP1","neighbor","TRUE"
"NFATC2","neighbor","FALSE"
"HMGA1","neighbor","FALSE"
"HLA-DRA","exp","FALSE"
"BRAF","neighbor","TRUE"
"YWHAH","neighbor","TRUE"
"REL","neighbor","FALSE"
"PLCG1","neighbor","TRUE"
"ZDHHC9","neighbor","TRUE"
"NFYA","neighbor","FALSE"
"TFAP2A","neighbor","TRUE"
"JUN","neighbor","TRUE"
"MAP2K7","neighbor","TRUE"
"CD68","neighbor","FALSE"
"MAPK3","neighbor","TRUE"
"PPP3CA","exp","TRUE"
"UFL1","exp","FALSE"
"SP1","neighbor","FALSE"
"FLNA","mty","FALSE"
"SOS1","neighbor","TRUE"
"FOS","neighbor","TRUE"
"PANK2","neighbor","FALSE"
"JUNB","neighbor","FALSE"
"CDH2","neighbor","TRUE"
"PRKCE","neighbor","TRUE"
"MIR222","neighbor","TRUE"
"TFAP2C","neighbor","TRUE"
"NFATC3","neighbor","TRUE"
"FOXD3","neighbor","TRUE"
"MARCKS","neighbor","TRUE"
"IFIT3","neighbor","FALSE"
"PRKCQ","mty","TRUE"
"PAK3","neighbor","TRUE"
"MIR34A","neighbor","TRUE"
"MIRLET7B","neighbor","TRUE"
"MIR193B","neighbor","TRUE"
"B2M","neighbor","FALSE"
"SOX2","mty","FALSE"
"NR3C1","neighbor","FALSE"
"TWIST1","mty","TRUE"
"MIR181A1","neighbor","TRUE"
"MIR21","neighbor","TRUE"
"MIR18B","neighbor","TRUE"
"IL1B","mty","TRUE"
"ELK1","neighbor","FALSE"
"USF1","neighbor","FALSE"
"PDPK1","neighbor","TRUE"
"ICMT","neighbor","TRUE"
"RLIM","mty","FALSE"
"MIR338","neighbor","TRUE"
"NFKB1","neighbor","TRUE"
"MIR221","neighbor","TRUE"
"NCOA1","neighbor","FALSE"
"BST2","mty","FALSE"
"MIR155","neighbor","TRUE"
"TFDP1","neighbor","FALSE"
"NR4A1","neighbor","FALSE"
"SP3","neighbor","FALSE"
"CDH1","neighbor","TRUE"
