"gene","category","ifcurated"
"SLC6A8","mty","FALSE"
"E2F4","neighbor","FALSE"
"MIR205","neighbor","TRUE"
"SFPQ","neighbor","FALSE"
"POMC","mty","TRUE"
"TP53","neighbor","TRUE"
"ACSL4","both","FALSE"
"MIR182","neighbor","TRUE"
"MIR92A2","neighbor","TRUE"
"RPS15A","mty","FALSE"
"RPS6","exp","FALSE"
"RPS15","mty","FALSE"
"ALDH7A1","mty","FALSE"
"MIR34A","neighbor","TRUE"
"MIRLET7B","neighbor","TRUE"
"MIR193B","neighbor","TRUE"
"NR3C1","neighbor","FALSE"
"MIR200B","neighbor","TRUE"
"USF1","neighbor","FALSE"
"NONO","neighbor","FALSE"
"TFDP1","neighbor","FALSE"
"NR4A1","neighbor","FALSE"
