"gene","category","ifcurated"
"MIR149","neighbor","TRUE"
"MIR205","neighbor","TRUE"
"SFPQ","neighbor","FALSE"
"PQBP1","mty","FALSE"
"MIR9-3","neighbor","TRUE"
"SKIV2L","mty","FALSE"
"MIR182","neighbor","TRUE"
"MIR92A2","neighbor","TRUE"
"RPS15A","mty","FALSE"
"NUP153","exp","FALSE"
"RPS6","exp","FALSE"
"RPS15","mty","FALSE"
"MIR222","neighbor","TRUE"
"MIR25","neighbor","TRUE"
"WDR3","exp","FALSE"
"MIRLET7B","neighbor","TRUE"
"HSPA8","exp","FALSE"
"XPOT","exp","FALSE"
"MIR338","neighbor","TRUE"
"NONO","neighbor","FALSE"
"CSTF2","mty","FALSE"
