"gene","category","ifcurated"
"ESRRA","neighbor","FALSE"
"TNC","exp","FALSE"
"MIR29A","neighbor","TRUE"
"USO1","exp","FALSE"
"SFPQ","neighbor","FALSE"
"CREB1","neighbor","TRUE"
"STAT3","neighbor","TRUE"
"POU2F1","neighbor","FALSE"
"MIR146A","neighbor","TRUE"
"MMP2","both","TRUE"
"MIR9-3","neighbor","TRUE"
"TP53","neighbor","TRUE"
"ETS1","neighbor","FALSE"
"ATF2","neighbor","FALSE"
"SPP1","both","FALSE"
"CYR61","neighbor","TRUE"
"FOSL1","neighbor","FALSE"
"MIR182","neighbor","TRUE"
"ETS2","neighbor","FALSE"
"MIR92A2","neighbor","TRUE"
"MIR29B2","neighbor","TRUE"
"MMP14","neighbor","TRUE"
"SMAD2","neighbor","TRUE"
"SMAD3","neighbor","FALSE"
"MYC","neighbor","TRUE"
"RPS15A","mty","FALSE"
"OGT","mty","FALSE"
"SPCS3","exp","FALSE"
"TFAP2A","neighbor","TRUE"
"JUN","neighbor","TRUE"
"TMEM115","mty","FALSE"
"VGF","exp","FALSE"
"SP1","neighbor","FALSE"
"RPS6","exp","FALSE"
"FOS","neighbor","TRUE"
"RPS15","mty","FALSE"
"JUNB","neighbor","FALSE"
"MIR25","neighbor","TRUE"
"TFAP2C","neighbor","TRUE"
"MYB","neighbor","TRUE"
"CD59","exp","FALSE"
"MIR137","neighbor","TRUE"
"MIRLET7B","neighbor","TRUE"
"NR3C1","neighbor","FALSE"
"MIR21","neighbor","TRUE"
"NOP58","exp","FALSE"
"ELK1","neighbor","FALSE"
"USF1","neighbor","FALSE"
"MIR338","neighbor","TRUE"
"NFKB1","neighbor","TRUE"
"MIR221","neighbor","TRUE"
"NONO","neighbor","FALSE"
"SP3","neighbor","FALSE"
