"gene","category","ifcurated"
"ESRRA","neighbor","FALSE"
"PAX3","neighbor","TRUE"
"HGFAC","both","TRUE"
"RAC1","neighbor","TRUE"
"MIR101-2","neighbor","TRUE"
"MIR149","neighbor","TRUE"
"MIR205","neighbor","TRUE"
"FZD6","exp","FALSE"
"MIR214","neighbor","TRUE"
"HRAS","mty","TRUE"
"MIR29A","neighbor","TRUE"
"HPN","both","TRUE"
"BAD","neighbor","TRUE"
"CREB1","neighbor","TRUE"
"STAT3","neighbor","TRUE"
"SPRY1","both","TRUE"
"TIAM1","mty","TRUE"
"POU2F1","neighbor","FALSE"
"PTEN","mty","TRUE"
"MIR146A","neighbor","TRUE"
"STAT6","neighbor","FALSE"
"RCE1","neighbor","TRUE"
"RELA","neighbor","FALSE"
"SPINT1","both","TRUE"
"NFIC","neighbor","FALSE"
"MMP2","both","TRUE"
"MIR9-3","neighbor","TRUE"
"ORAI2","neighbor","TRUE"
"MIR31","neighbor","TRUE"
"TP53","neighbor","TRUE"
"ETS1","neighbor","FALSE"
"ATF2","neighbor","FALSE"
"SPP1","both","FALSE"
"FNTA","neighbor","TRUE"
"TUBB2B","mty","FALSE"
"CYR61","neighbor","TRUE"
"NOTCH1","neighbor","FALSE"
"FOSL1","neighbor","FALSE"
"RUNX1","neighbor","FALSE"
"KIF2A","exp","FALSE"
"CSNK2A1","neighbor","TRUE"
"MIR182","neighbor","TRUE"
"ETS2","neighbor","FALSE"
"MIR92A2","neighbor","TRUE"
"MIR29B2","neighbor","TRUE"
"MIR203A","neighbor","TRUE"
"ITGB3","exp","TRUE"
"MMP14","neighbor","TRUE"
"CDC42","neighbor","TRUE"
"ITPR2","neighbor","TRUE"
"PIK3R3","exp","TRUE"
"ADCY5","neighbor","TRUE"
"NFATC2","neighbor","FALSE"
"MYC","neighbor","TRUE"
"BRAF","neighbor","TRUE"
"YWHAH","neighbor","TRUE"
"PLCG1","neighbor","TRUE"
"ZDHHC9","neighbor","TRUE"
"TFAP2A","neighbor","TRUE"
"JUN","neighbor","TRUE"
"MAPK3","neighbor","TRUE"
"PPP3CA","exp","TRUE"
"SP1","neighbor","FALSE"
"SOS1","neighbor","TRUE"
"FOS","neighbor","TRUE"
"JUNB","neighbor","FALSE"
"HGF","both","TRUE"
"PRKCE","neighbor","TRUE"
"MIR222","neighbor","TRUE"
"MIR25","neighbor","TRUE"
"MGLL","mty","FALSE"
"TFAP2C","neighbor","TRUE"
"MYB","neighbor","TRUE"
"NFATC3","neighbor","TRUE"
"MARCKS","neighbor","TRUE"
"PRKCQ","mty","TRUE"
"MIR137","neighbor","TRUE"
"MIR34A","neighbor","TRUE"
"MIRLET7B","neighbor","TRUE"
"MIR193B","neighbor","TRUE"
"SOX2","mty","FALSE"
"NR3C1","neighbor","FALSE"
"MIR181A1","neighbor","TRUE"
"MIR200B","neighbor","TRUE"
"RBPJ","neighbor","FALSE"
"MIR21","neighbor","TRUE"
"FMNL2","exp","FALSE"
"ELK1","neighbor","FALSE"
"USF1","neighbor","FALSE"
"PDPK1","neighbor","TRUE"
"MIR199A2","neighbor","TRUE"
"ICMT","neighbor","TRUE"
"MIR338","neighbor","TRUE"
"NFKB1","neighbor","TRUE"
"MIR221","neighbor","TRUE"
"ST14","neighbor","TRUE"
"NUF2","exp","FALSE"
"MIRLET7A1","neighbor","TRUE"
"MIR30D","neighbor","TRUE"
"MIR155","neighbor","TRUE"
"SP3","neighbor","FALSE"
"SPINT2","both","TRUE"
"CUL5","exp","FALSE"
