"SUID","annotation","database","id","instance","interaction","Interactiontype","metaid","modifiers","name","PMIDs","polarity","products","r_id","reactants","reldate","release","selected","shared interaction","shared name","shared_interaction","shared_name","source","source_alias","target","target_alias","type"
"103358","pubmed:14668816|pubmed:14668816|pubmed:14668816",,"58831","sa150 -o csa14","interacts with","stimulation","re74","s181|JNK_active_cyt|RSK2_P_active_nucl|GSK3B","JNK|_pho|_pho|active (interacts with) AP-1|active",,"1.0","s985","re74","s1382",,,"false","interacts with","JNK|_pho|_pho|active (interacts with) AP-1|active","interacts with","JNK|_pho|_pho|active (interacts with) AP-1|active","56851",,"56687",,"CATALYSIS"
"103359","",,"58830","sa519 -D sa534","interacts with","interaction","re311",""," mRNA_TRIM22  (interacts with)  TRIM22 ",,"0.0","s747","re311","s732",,,"false","interacts with"," mRNA_TRIM22  (interacts with)  TRIM22 ","interacts with"," mRNA_TRIM22  (interacts with)  TRIM22 ","56850",,"55990",,"TRANSLATION"
"103360","pubmed:16540670|pubmed:10843728|pubmed:11875741|drugbank:DB01017|pubmed:10843728",,"58829","sa3339 -o sa2359","interacts with","stimulation","re1076","s3904|s7583|s9915|Myc_P_nucl","c-myb (interacts with)  bFGF ",,"1.0","s4369","re1076","s4367",,,"false","interacts with","c-myb (interacts with)  bFGF ","interacts with","c-myb (interacts with)  bFGF ","56849",,"56826",,"CATALYSIS"
"103361","pubmed:21508972",,"58828","sa3416 -D sa999","interacts with","stimulation","re494",""," dreg_c-Myc  (interacts with) Cell cycle progression",,"1.0","s1679","re494","s10359",,,"false","interacts with"," dreg_c-Myc  (interacts with) Cell cycle progression","interacts with"," dreg_c-Myc  (interacts with) Cell cycle progression","56848",,"55527",,"PHYSICAL_STIMULATION"
"103362","",,"58827","sa3416 -D sa3399","interacts with","interaction","re1333",""," dreg_c-Myc  (interacts with) dreg_c-Myc",,"0.0","s10338","re1333","s10359",,,"false","interacts with"," dreg_c-Myc  (interacts with) dreg_c-Myc","interacts with"," dreg_c-Myc  (interacts with) dreg_c-Myc","56848",,"56362",,"TRANSPORT"
"103363","pubmed:15986140",,"58826","sa2214 -D sa2215","interacts with","interaction","re1040","s3904","MCL-1 (interacts with)  MCL-1 ",,"0.0","s3933","re1040","s3932",,,"false","interacts with","MCL-1 (interacts with)  MCL-1 ","interacts with","MCL-1 (interacts with)  MCL-1 ","56847",,"55884",,"TRANSCRIPTION"
"103364","pubmed:24330305",,"58825","sa980 -D sa985","interacts with","interaction","re501","s1653","HEY (interacts with)  HEY ",,"0.0","s1665","re501","s1655",,,"false","interacts with","HEY (interacts with)  HEY ","interacts with","HEY (interacts with)  HEY ","56846",,"56438",,"TRANSCRIPTION"
"103365","",,"58824","sa2770 -D sa3308","interacts with","interaction","re1314","","  NOXA   (interacts with)    Noxa   ",,"0.0","s7871","re1314","s5976",,,"false","interacts with","  NOXA   (interacts with)    Noxa   ","interacts with","  NOXA   (interacts with)    Noxa   ","56845",,"56602",,"TRANSLATION"
"103366","",,"58823","sa984 -D sa993","interacts with","interaction","re505",""," HES  (interacts with)   HES  ",,"0.0","s1673","re505","s1664",,,"false","interacts with"," HES  (interacts with)   HES  ","interacts with"," HES  (interacts with)   HES  ","56844",,"55748",,"TRANSPORT"
"103367","pubmed:17604717",,"58822","sa253 -D sa318","interacts with","interaction","re188","","MDM2|_pho (interacts with)  MDM2|_pho ",,"0.0","s482","re188","s380",,,"false","interacts with","MDM2|_pho (interacts with)  MDM2|_pho ","interacts with","MDM2|_pho (interacts with)  MDM2|_pho ","56843",,"56561",,"TRANSPORT"
